shipment_id,shipment_date,origin,destination,lane,carrier_id,carrier_name,vehicle_type,weight_kg,distance_km,priority,industry,bid_price_inr,transit_days_planned,transit_days_actual,on_time_delivery,delayed_days,damage_reported,delivered,carrier_score,risk_level,award_given,feedback_rating,negotiation_signal,market_rate_inr
SHP-00001,2023-03-07,Hyderabad,Visakhapatnam,HYD-VIS,C008,VRL Logistics,LCV,11348.9,486,Standard,Pharma,23981.29,1,1.0,Yes,0.0,No,Yes,90.5,Low,Yes,4.9,Yes,9720
SHP-00002,2023-09-27,Chennai,Vadodara,CHE-VAD,C013,Allcargo Logistics,HCV,11540.6,846,Standard,Textile,28447.84,2,2.0,Yes,0.0,No,Yes,97.9,Low,Yes,4.7,Yes,16920
SHP-00003,2023-04-25,Bhopal,Ahmedabad,BHO-AHM,C003,Delhivery Freight,Container,11449.5,1065,Urgent,Automotive,56638.92,2,2.0,Yes,0.0,No,Yes,99.7,Low,Yes,4.8,Yes,21300
SHP-00004,2023-06-19,Bengaluru,Chennai,BEN-CHE,C012,ShadowFax Freight,Container,12249.5,346,Standard,Pharma,30752.49,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.5,Yes,6920
SHP-00005,2023-12-13,Ahmedabad,Lucknow,AHM-LUC,C007,Safexpress,Trailer,9765.7,1675,Urgent,Chemical,47423.31,5,5.0,Yes,0.0,No,No,100.0,Low,No,3.1,Yes,33500
SHP-00006,2024-08-07,Bengaluru,Delhi,BEN-DEL,C014,DHL Supply Chain India,MCV,1109.3,2150,Standard,Chemical,31333.95,5,5.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.3,No,43000
SHP-00007,2023-04-22,Kanpur,Coimbatore,KAN-COI,C007,Safexpress,LCV,12964.4,1256,Standard,Automotive,34481.87,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.5,Yes,25120
SHP-00008,2023-08-31,Bengaluru,Kochi,BEN-KOC,C013,Allcargo Logistics,LCV,12846.7,570,Standard,Food & Beverage,38513.99,1,1.0,Yes,0.0,No,Yes,94.5,Low,Yes,3.8,Yes,11400
SHP-00009,2023-07-14,Nagpur,Jaipur,NAG-JAI,C015,FedEx Freight India,HCV,11787.7,1905,Express,Food & Beverage,70677.01,5,8.9,No,3.9,No,Yes,100.0,Low,Yes,2.7,Yes,38100
SHP-00010,2023-08-29,Bhopal,Visakhapatnam,BHO-VIS,C003,Delhivery Freight,LCV,14413.6,416,Standard,FMCG,30094.18,1,5.8,No,4.8,No,Yes,99.9,Low,Yes,2.8,Yes,8320
SHP-00011,2023-11-04,Vadodara,Bhopal,VAD-BHO,C006,Ecom Express,HCV,3103.7,834,Standard,Textile,18804.22,2,12.6,No,10.6,Yes,Yes,85.1,Low,Yes,1.7,Yes,16680
SHP-00012,2024-07-10,Visakhapatnam,Ahmedabad,VIS-AHM,C009,Rivigo,HCV,2030.2,843,Standard,Electronics,15441.16,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.6,No,16860
SHP-00013,2023-12-18,Surat,Chennai,SUR-CHE,C015,FedEx Freight India,LCV,4003.8,575,Urgent,Pharma,22893.33,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.7,Yes,11500
SHP-00014,2024-03-13,Bengaluru,Coimbatore,BEN-COI,C014,DHL Supply Chain India,HCV,709.1,866,Standard,Textile,12449.46,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.1,No,17320
SHP-00015,2023-02-10,Kanpur,Ludhiana,KAN-LUD,C009,Rivigo,LCV,6475.3,603,Standard,Industrial,25734.63,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.8,Yes,12060
SHP-00016,2024-02-26,Indore,Hyderabad,IND-HYD,C015,FedEx Freight India,MCV,12975.9,784,Express,Automotive,45779.91,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.2,Yes,15680
SHP-00017,2023-08-17,Delhi,Bhopal,DEL-BHO,C004,TCI Freight,Trailer,12258.0,708,Standard,Textile,38652.11,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.6,Yes,14160
SHP-00018,2023-09-29,Bhopal,Nagpur,BHO-NAG,C011,SpotOn Logistics,LCV,8066.4,2027,Standard,Textile,43405.83,6,6.0,Yes,0.0,No,Yes,79.8,Medium,Yes,5.0,No,40540
SHP-00019,2024-11-17,Chennai,Indore,CHE-IND,C015,FedEx Freight India,LCV,2891.7,1480,Express,Automotive,42596.27,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.3,Yes,29600
SHP-00020,2024-11-11,Chennai,Lucknow,CHE-LUC,C009,Rivigo,HCV,10020.0,933,Express,Textile,33689.97,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.1,Yes,18660
SHP-00021,2023-08-07,Mumbai,Lucknow,MUM-LUC,C005,Mahindra Logistics,Container,6476.8,730,Urgent,Industrial,33049.11,2,2.0,Yes,0.0,No,Yes,96.3,Low,Yes,3.6,Yes,14600
SHP-00022,2023-02-17,Ludhiana,Lucknow,LUD-LUC,C002,GATI Limited,MCV,14282.4,1976,Standard,Electronics,55940.58,5,5.0,Yes,0.0,No,Yes,92.9,Low,Yes,4.3,Yes,39520
SHP-00023,2024-06-14,Ahmedabad,Indore,AHM-IND,C008,VRL Logistics,LCV,3697.6,1118,Standard,Retail,22276.68,3,3.0,Yes,0.0,No,Yes,88.0,Low,Yes,3.9,No,22360
SHP-00024,2024-04-01,Bhopal,Vadodara,BHO-VAD,C010,XpressBees Freight,Trailer,14253.1,949,Urgent,Food & Beverage,68845.51,2,2.0,Yes,0.0,No,Yes,86.8,Low,Yes,4.3,Yes,18980
SHP-00025,2024-07-07,Bhopal,Kochi,BHO-KOC,C011,SpotOn Logistics,LCV,4155.2,789,Standard,Electronics,15965.03,2,2.0,Yes,0.0,No,Yes,78.5,Medium,Yes,3.8,No,15780
SHP-00026,2024-08-12,Lucknow,Vadodara,LUC-VAD,C008,VRL Logistics,Trailer,980.9,1151,Express,Machinery,38368.13,3,3.0,Yes,0.0,No,Yes,92.3,Low,Yes,4.9,Yes,23020
SHP-00027,2023-01-30,Indore,Vadodara,IND-VAD,C012,ShadowFax Freight,Container,8214.7,1804,Standard,Chemical,35259.29,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.8,No,36080
SHP-00028,2024-04-17,Ludhiana,Visakhapatnam,LUD-VIS,C001,BlueDart Express,Container,5940.6,2157,Standard,FMCG,48702.67,6,6.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.8,Yes,43140
SHP-00029,2024-10-27,Jaipur,Coimbatore,JAI-COI,C005,Mahindra Logistics,LCV,1274.5,2009,Urgent,Automotive,85660.01,6,7.3,No,1.3,No,Yes,97.3,Low,Yes,2.7,Yes,40180
SHP-00030,2024-09-13,Kolkata,Hyderabad,KOL-HYD,C008,VRL Logistics,MCV,1760.1,1671,Express,Textile,50604.24,3,3.0,Yes,0.0,No,Yes,89.1,Low,Yes,4.2,Yes,33420
SHP-00031,2023-09-06,Surat,Ludhiana,SUR-LUD,C011,SpotOn Logistics,Trailer,14374.7,2159,Standard,FMCG,68020.27,6,6.0,Yes,0.0,No,Yes,77.9,Medium,Yes,5.0,Yes,43180
SHP-00032,2024-05-16,Delhi,Nagpur,DEL-NAG,C009,Rivigo,LCV,9939.7,1177,Urgent,Industrial,39044.98,3,8.0,No,5.0,No,Yes,100.0,Low,Yes,3.0,Yes,23540
SHP-00033,2023-03-30,Jaipur,Vadodara,JAI-VAD,C013,Allcargo Logistics,Container,6999.9,1290,Standard,Industrial,42893.15,3,3.0,Yes,0.0,No,Yes,98.1,Low,Yes,3.7,Yes,25800
SHP-00034,2023-10-10,Kochi,Lucknow,KOC-LUC,C003,Delhivery Freight,HCV,3221.2,1298,Standard,Textile,36416.41,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.1,Yes,25960
SHP-00035,2023-11-10,Kolkata,Bhopal,KOL-BHO,C011,SpotOn Logistics,LCV,7387.8,1400,Standard,Textile,31413.6,3,3.0,Yes,0.0,No,Yes,83.2,Low,Yes,4.1,Yes,28000
SHP-00036,2023-07-09,Kanpur,Kochi,KAN-KOC,C005,Mahindra Logistics,LCV,3808.5,927,Standard,Industrial,16824.92,2,2.0,Yes,0.0,No,Yes,96.9,Low,Yes,4.2,No,18540
SHP-00037,2023-02-25,Chennai,Kolkata,CHE-KOL,C005,Mahindra Logistics,HCV,5445.2,765,Standard,Food & Beverage,12961.9,2,2.0,Yes,0.0,No,Yes,95.2,Low,Yes,4.7,No,15300
SHP-00038,2023-03-08,Vadodara,Surat,VAD-SUR,C008,VRL Logistics,MCV,6635.0,1280,Standard,Textile,40220.52,3,3.0,Yes,0.0,No,Yes,88.1,Low,Yes,4.1,Yes,25600
SHP-00039,2024-06-19,Surat,Bengaluru,SUR-BEN,C004,TCI Freight,Trailer,8393.2,542,Urgent,Machinery,31085.89,1,4.3,No,3.3,No,Yes,98.3,Low,Yes,1.6,Yes,10840
SHP-00040,2023-01-03,Chennai,Kolkata,CHE-KOL,C011,SpotOn Logistics,LCV,4006.5,732,Standard,Electronics,12414.84,2,2.0,Yes,0.0,No,Yes,78.9,Medium,Yes,3.6,No,14640
SHP-00041,2023-06-02,Coimbatore,Bengaluru,COI-BEN,C011,SpotOn Logistics,Container,13862.5,778,Standard,Retail,21503.32,1,2.8,No,1.8,No,Yes,81.7,Low,Yes,2.6,Yes,15560
SHP-00042,2024-09-04,Surat,Kochi,SUR-KOC,C002,GATI Limited,Trailer,10345.7,1259,Standard,Food & Beverage,36012.78,4,4.0,Yes,0.0,No,Yes,90.9,Low,Yes,4.9,Yes,25180
SHP-00043,2024-06-15,Vadodara,Ludhiana,VAD-LUD,C001,BlueDart Express,HCV,10100.6,1866,Urgent,Automotive,79344.03,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.0,Yes,37320
SHP-00044,2024-11-09,Bengaluru,Bhopal,BEN-BHO,C006,Ecom Express,LCV,5033.0,1136,Standard,Industrial,25767.48,2,8.6,No,6.6,No,Yes,83.6,Low,Yes,3.4,Yes,22720
SHP-00045,2024-09-29,Nagpur,Visakhapatnam,NAG-VIS,C014,DHL Supply Chain India,Container,9882.0,302,Express,Retail,21051.38,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.9,Yes,6040
SHP-00046,2024-02-22,Coimbatore,Bhopal,COI-BHO,C002,GATI Limited,Container,14598.5,359,Standard,Pharma,13221.08,1,9.6,No,8.6,No,Yes,95.4,Low,Yes,2.5,Yes,7180
SHP-00047,2023-07-15,Surat,Visakhapatnam,SUR-VIS,C012,ShadowFax Freight,Trailer,6261.6,859,Express,Electronics,25771.24,2,2.0,Yes,0.0,No,Yes,99.5,Low,Yes,4.6,Yes,17180
SHP-00048,2024-11-06,Indore,Lucknow,IND-LUC,C015,FedEx Freight India,LCV,7640.7,1913,Standard,Textile,55541.25,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.1,Yes,38260
SHP-00049,2023-02-14,Coimbatore,Lucknow,COI-LUC,C014,DHL Supply Chain India,MCV,14712.6,686,Urgent,Retail,55073.71,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.6,Yes,13720
SHP-00050,2024-06-22,Hyderabad,Bhopal,HYD-BHO,C001,BlueDart Express,Container,7559.3,558,Standard,FMCG,22227.23,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.1,Yes,11160
SHP-00051,2024-05-14,Jaipur,Kanpur,JAI-KAN,C010,XpressBees Freight,LCV,5992.4,1718,Standard,Food & Beverage,34533.38,3,3.0,Yes,0.0,No,Yes,90.9,Low,Yes,5.0,No,34360
SHP-00052,2023-02-17,Bengaluru,Coimbatore,BEN-COI,C002,GATI Limited,LCV,9524.5,1857,Express,Pharma,74655.94,4,4.0,Yes,0.0,No,Yes,91.9,Low,Yes,3.8,Yes,37140
SHP-00053,2023-08-26,Pune,Ahmedabad,PUN-AHM,C003,Delhivery Freight,Trailer,9161.9,461,Urgent,Electronics,33772.1,1,1.0,Yes,0.0,No,No,100.0,Low,No,4.8,Yes,9220
SHP-00054,2023-11-06,Visakhapatnam,Pune,VIS-PUN,C002,GATI Limited,Container,14181.3,1204,Standard,Retail,42519.5,3,3.0,Yes,0.0,No,Yes,93.8,Low,Yes,4.1,Yes,24080
SHP-00055,2023-10-21,Surat,Mumbai,SUR-MUM,C014,DHL Supply Chain India,LCV,5967.3,1648,Urgent,Automotive,80467.36,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.5,Yes,32960
SHP-00056,2023-04-03,Hyderabad,Chennai,HYD-CHE,C015,FedEx Freight India,HCV,9712.8,627,Express,Automotive,36236.44,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.8,Yes,12540
SHP-00057,2023-12-13,Kanpur,Visakhapatnam,KAN-VIS,C009,Rivigo,MCV,4124.3,2170,Standard,Chemical,59246.38,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.4,Yes,43400
SHP-00058,2024-11-19,Nagpur,Vadodara,NAG-VAD,C006,Ecom Express,LCV,11870.7,484,Standard,Food & Beverage,18719.66,1,1.0,Yes,0.0,No,Yes,85.7,Low,Yes,3.9,Yes,9680
SHP-00059,2023-02-16,Ludhiana,Visakhapatnam,LUD-VIS,C006,Ecom Express,LCV,9170.7,2174,Express,Textile,66658.86,4,4.0,Yes,0.0,No,Yes,87.0,Low,Yes,3.3,Yes,43480
SHP-00060,2024-02-29,Coimbatore,Kanpur,COI-KAN,C011,SpotOn Logistics,Container,10462.4,1821,Express,Machinery,62350.99,4,12.0,No,8.0,No,Yes,81.3,Low,Yes,1.9,Yes,36420
SHP-00061,2023-05-06,Coimbatore,Kolkata,COI-KOL,C014,DHL Supply Chain India,HCV,1535.4,1042,Urgent,Industrial,22098.37,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.9,No,20840
SHP-00062,2023-08-27,Delhi,Kanpur,DEL-KAN,C004,TCI Freight,MCV,11815.3,557,Standard,Food & Beverage,17592.74,1,1.0,Yes,0.0,No,No,100.0,Low,No,3.3,Yes,11140
SHP-00063,2024-08-25,Hyderabad,Vadodara,HYD-VAD,C005,Mahindra Logistics,LCV,2658.7,1935,Standard,Automotive,36156.64,5,5.0,Yes,0.0,No,Yes,95.5,Low,Yes,4.5,No,38700
SHP-00064,2024-11-05,Kochi,Coimbatore,KOC-COI,C013,Allcargo Logistics,LCV,7722.9,1041,Express,Food & Beverage,33666.83,2,2.0,Yes,0.0,No,Yes,97.0,Low,Yes,3.8,Yes,20820
SHP-00065,2024-10-01,Chennai,Bhopal,CHE-BHO,C012,ShadowFax Freight,LCV,6681.3,2163,Standard,Machinery,33211.03,5,5.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.9,No,43260
SHP-00066,2023-12-14,Ludhiana,Indore,LUD-IND,C002,GATI Limited,Container,10541.6,1924,Standard,Retail,43079.71,4,4.0,Yes,0.0,No,Yes,92.3,Low,Yes,3.5,Yes,38480
SHP-00067,2023-05-14,Hyderabad,Bhopal,HYD-BHO,C002,GATI Limited,LCV,12485.0,486,Express,FMCG,31193.89,1,1.0,Yes,0.0,No,Yes,91.1,Low,Yes,3.7,Yes,9720
SHP-00068,2023-08-18,Indore,Delhi,IND-DEL,C005,Mahindra Logistics,LCV,4721.1,1529,Urgent,Food & Beverage,45935.19,3,3.0,Yes,0.0,No,Yes,94.0,Low,Yes,3.5,Yes,30580
SHP-00069,2023-10-01,Indore,Vadodara,IND-VAD,C013,Allcargo Logistics,Container,9344.8,1976,Standard,Machinery,65573.18,6,6.0,Yes,0.0,No,Yes,96.2,Low,Yes,3.4,Yes,39520
SHP-00070,2023-12-16,Hyderabad,Ludhiana,HYD-LUD,C011,SpotOn Logistics,LCV,1090.3,1120,Standard,Food & Beverage,17166.0,3,3.0,Yes,0.0,No,Yes,80.8,Low,Yes,4.8,No,22400
SHP-00071,2024-03-28,Hyderabad,Ahmedabad,HYD-AHM,C013,Allcargo Logistics,LCV,793.9,1565,Standard,Chemical,33729.31,4,4.0,Yes,0.0,No,Yes,94.8,Low,Yes,4.4,No,31300
SHP-00072,2023-08-05,Vadodara,Kochi,VAD-KOC,C009,Rivigo,MCV,4660.9,1666,Express,Machinery,30491.04,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.9,No,33320
